Date : 2025-05-20 16:39:15
Directory : c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim
Total : 397 files,  42390 codes, 5503 comments, 6337 blanks, all 54230 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\dom\table.hpp                                                                    | C++             |         60 |         21 |         15 |         96 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\dom\take_any_args.hpp                                                            | C++             |         33 |          6 |         10 |         49 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\screen\box.hpp                                                                   | C++             |         18 |          3 |          6 |         27 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\screen\color.hpp                                                                 | C++             |        312 |         17 |         17 |        346 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\screen\color_info.hpp                                                            | C++             |         20 |          3 |          7 |         30 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\screen\deprecated.hpp                                                            | C++             |          8 |          3 |          4 |         15 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\screen\image.hpp                                                                 | C++             |         26 |         10 |         13 |         49 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\screen\pixel.hpp                                                                 | C++             |         33 |         12 |         10 |         55 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\screen\screen.hpp                                                                | C++             |         54 |         15 |         20 |         89 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\screen\string.hpp                                                                | C++             |         16 |          7 |          9 |         32 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\screen\terminal.hpp                                                              | C++             |         21 |          3 |          7 |         31 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\util\autoreset.hpp                                                               | C++             |         22 |          4 |          7 |         33 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\include\ftxui\util\ref.hpp                                                                     | C++             |        168 |         22 |         27 |        217 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\animation.cpp                                                              | C++             |        178 |         60 |         49 |        287 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\animation_test.cpp                                                         | C++             |         30 |          3 |          6 |         39 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\button.cpp                                                                 | C++             |        132 |         53 |         28 |        213 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\button_test.cpp                                                            | C++             |        167 |          5 |         23 |        195 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\catch_event.cpp                                                            | C++             |         34 |         46 |          9 |         89 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\checkbox.cpp                                                               | C++             |         75 |         49 |         18 |        142 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\collapsible.cpp                                                            | C++             |         34 |         21 |          6 |         61 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\collapsible_test.cpp                                                       | C++             |         40 |          5 |         11 |         56 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\component.cpp                                                              | C++             |        157 |         68 |         33 |        258 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\component_fuzzer.cpp                                                       | C++             |        196 |          4 |         30 |        230 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\component_options.cpp                                                      | C++             |        242 |         84 |         33 |        359 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\component_test.cpp                                                         | C++             |        130 |          5 |         41 |        176 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\container.cpp                                                              | C++             |        270 |        119 |         50 |        439 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\container_test.cpp                                                         | C++             |        292 |         13 |         33 |        338 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\dropdown.cpp                                                               | C++             |        107 |         15 |         20 |        142 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\dropdown_test.cpp                                                          | C++             |         24 |          3 |          8 |         35 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\event.cpp                                                                  | C++             |        386 |         47 |         35 |        468 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\hoverable.cpp                                                              | C++             |        104 |         89 |         23 |        216 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\hoverable_test.cpp                                                         | C++             |        159 |          5 |         30 |        194 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\input.cpp                                                                  | C++             |        465 |         90 |         77 |        632 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\input_test.cpp                                                             | C++             |        621 |          7 |        157 |        785 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\loop.cpp                                                                   | C++             |         26 |         21 |         11 |         58 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\maybe.cpp                                                                  | C++             |         41 |         41 |         11 |         93 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\menu.cpp                                                                   | C++             |        513 |        120 |         79 |        712 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\menu_test.cpp                                                              | C++             |        245 |          5 |         26 |        276 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\modal.cpp                                                                  | C++             |         45 |         11 |          9 |         65 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\modal_test.cpp                                                             | C++             |         34 |          5 |          7 |         46 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\radiobox.cpp                                                               | C++             |        151 |         65 |         29 |        245 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\radiobox_test.cpp                                                          | C++             |        256 |         11 |         43 |        310 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\receiver_test.cpp                                                          | C++             |         56 |          9 |         17 |         82 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\renderer.cpp                                                               | C++             |         54 |         67 |         13 |        134 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\resizable_split.cpp                                                        | C++             |        174 |        130 |         23 |        327 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\resizable_split_test.cpp                                                   | C++             |        212 |          5 |         21 |        238 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\screen_interactive.cpp                                                     | C++             |        782 |        158 |        150 |      1,090 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\screen_interactive_test.cpp                                                | C++             |        104 |          8 |         23 |        135 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\slider.cpp                                                                 | C++             |        279 |         40 |         45 |        364 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\slider_test.cpp                                                            | C++             |        206 |          5 |         20 |        231 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\terminal_input_parser.cpp                                                  | C++             |        323 |         79 |         63 |        465 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\terminal_input_parser.hpp                                                  | C++             |         56 |          4 |         14 |         74 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\terminal_input_parser_test.cpp                                             | C++             |        369 |        107 |         39 |        515 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\terminal_input_parser_test_fuzzer.cpp                                      | C++             |         15 |          4 |          3 |         22 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\toggle_test.cpp                                                            | C++             |        144 |          8 |         32 |        184 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\util.cpp                                                                   | C++             |         19 |          7 |          8 |         34 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\component\window.cpp                                                                 | C++             |        233 |         32 |         52 |        317 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\automerge.cpp                                                                    | C++             |         24 |          5 |          7 |         36 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\benchmark_test.cpp                                                               | C++             |         75 |          5 |          7 |         87 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\blink.cpp                                                                        | C++             |         26 |          5 |          7 |         38 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\blink_test.cpp                                                                   | C++             |         13 |          5 |          5 |         23 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\bold.cpp                                                                         | C++             |         26 |          5 |          7 |         38 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\bold_test.cpp                                                                    | C++             |         13 |          5 |          5 |         23 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\border.cpp                                                                       | C++             |        208 |        269 |         35 |        512 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\border_test.cpp                                                                  | C++             |         90 |          5 |         13 |        108 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\box_helper.cpp                                                                   | C++             |         66 |         13 |         14 |         93 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\box_helper.hpp                                                                   | C++             |         14 |          5 |          7 |         26 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\canvas.cpp                                                                       | C++             |        578 |        272 |         94 |        944 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\canvas_test.cpp                                                                  | C++             |         94 |          5 |         10 |        109 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\clear_under.cpp                                                                  | C++             |         28 |          7 |          8 |         43 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\color.cpp                                                                        | C++             |         69 |         45 |         15 |        129 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\color_test.cpp                                                                   | C++             |         22 |          5 |          6 |         33 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\composite_decorator.cpp                                                          | C++             |         16 |         19 |          9 |         44 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\dbox.cpp                                                                         | C++             |         40 |          9 |         11 |         60 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\dbox_test.cpp                                                                    | C++             |         26 |          5 |          6 |         37 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\dim.cpp                                                                          | C++             |         26 |          5 |          7 |         38 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\dim_test.cpp                                                                     | C++             |         13 |          5 |          5 |         23 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\flex.cpp                                                                         | C++             |        106 |         45 |         31 |        182 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\flexbox.cpp                                                                      | C++             |        196 |         60 |         39 |        295 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\flexbox_config.cpp                                                               | C++             |         28 |         15 |          9 |         52 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\flexbox_helper.cpp                                                               | C++             |        325 |         12 |         44 |        381 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\flexbox_helper.hpp                                                               | C++             |         37 |          7 |         10 |         54 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\flexbox_helper_test.cpp                                                          | C++             |        181 |          5 |         48 |        234 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\flexbox_test.cpp                                                                 | C++             |        417 |          5 |         40 |        462 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\focus.cpp                                                                        | C++             |         52 |         32 |         13 |         97 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\frame.cpp                                                                        | C++             |        118 |         77 |         28 |        223 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\gauge.cpp                                                                        | C++             |        150 |        125 |         23 |        298 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\gauge_test.cpp                                                                   | C++             |         82 |          5 |         16 |        103 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\graph.cpp                                                                        | C++             |         57 |          8 |         11 |         76 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\gridbox.cpp                                                                      | C++             |        121 |         37 |         20 |        178 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\gridbox_test.cpp                                                                 | C++             |        564 |          7 |         51 |        622 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\hbox.cpp                                                                         | C++             |         65 |         19 |         15 |         99 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\hbox_test.cpp                                                                    | C++             |        328 |          6 |         29 |        363 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\hyperlink.cpp                                                                    | C++             |         33 |         33 |          9 |         75 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\hyperlink_test.cpp                                                               | C++             |         32 |          3 |          8 |         43 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\inverted.cpp                                                                     | C++             |         26 |          6 |          7 |         39 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\italic.cpp                                                                       | C++             |         24 |          5 |          7 |         36 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\italic_test.cpp                                                                  | C++             |         13 |          5 |          5 |         23 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\linear_gradient.cpp                                                              | C++             |        171 |         97 |         35 |        303 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\linear_gradient_test.cpp                                                         | C++             |         70 |          5 |         16 |         91 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\node.cpp                                                                         | C++             |        126 |         47 |         32 |        205 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\node_decorator.cpp                                                               | C++             |         14 |          3 |          6 |         23 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\node_decorator.hpp                                                               | C++             |         15 |          4 |          7 |         26 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\paragraph.cpp                                                                    | C++             |         61 |         23 |         12 |         96 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\reflect.cpp                                                                      | C++             |         36 |          4 |         10 |         50 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\scroll_indicator.cpp                                                             | C++             |         97 |          9 |         24 |        130 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\scroll_indicator_test.cpp                                                        | C++             |        295 |         41 |         36 |        372 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\selection.cpp                                                                    | C++             |        134 |         20 |         20 |        174 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\selection_style.cpp                                                              | C++             |         60 |         17 |         16 |         93 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\selection_test.cpp                                                               | C++             |        177 |          7 |         39 |        223 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\separator.cpp                                                                    | C++             |        206 |        323 |         42 |        571 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\separator_test.cpp                                                               | C++             |        113 |          5 |         12 |        130 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\size.cpp                                                                         | C++             |         74 |          9 |         13 |         96 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\spinner.cpp                                                                      | C++             |        284 |         10 |          7 |        301 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\spinner_test.cpp                                                                 | C++             |         30 |          5 |          8 |         43 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\strikethrough.cpp                                                                | C++             |         24 |          5 |          7 |         36 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\table.cpp                                                                        | C++             |        293 |        123 |         48 |        464 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\table_test.cpp                                                                   | C++             |        711 |          5 |         34 |        750 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\text.cpp                                                                         | C++             |        114 |         85 |         26 |        225 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\text_test.cpp                                                                    | C++             |         93 |         14 |         19 |        126 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\underlined.cpp                                                                   | C++             |         26 |          5 |          7 |         38 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\underlined_double.cpp                                                            | C++             |         24 |          5 |          7 |         36 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\underlined_test.cpp                                                              | C++             |         13 |          5 |          5 |         23 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\util.cpp                                                                         | C++             |         85 |         48 |         18 |        151 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\vbox.cpp                                                                         | C++             |         65 |         20 |         16 |        101 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\dom\vbox_test.cpp                                                                    | C++             |        336 |          6 |         31 |        373 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\screen\box.cpp                                                                       | C++             |         42 |         21 |         10 |         73 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\screen\color.cpp                                                                     | C++             |        205 |         63 |         32 |        300 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\screen\color_info.cpp                                                                | C++             |        269 |          5 |          8 |        282 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\screen\color_test.cpp                                                                | C++             |         70 |          3 |         14 |         87 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\screen\image.cpp                                                                     | C++             |         37 |         16 |         11 |         64 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\screen\screen.cpp                                                                    | C++             |        416 |         70 |         80 |        566 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\screen\string.cpp                                                                    | C++             |      1,500 |         80 |         90 |      1,670 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\screen\string_internal.hpp                                                           | C++             |         49 |          8 |         11 |         68 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\screen\string_test.cpp                                                               | C++             |        131 |         22 |         15 |        168 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\screen\terminal.cpp                                                                  | C++             |         93 |         29 |         25 |        147 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\screen\util.hpp                                                                      | C++             |          9 |          4 |          5 |         18 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\src\ftxui\util\ref_test.cpp                                                                    | C++             |         54 |          3 |         11 |         68 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\tools\format.sh                                                                                | Shell Script    |         14 |          3 |          3 |         20 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\tools\iwyu.sh                                                                                  | Shell Script    |         11 |          1 |          2 |         14 |
| c:\Users\Hanno\OneDrive\Code\DHBW Systemnahe Programmierung\picsim\third_party\ftxui\tools\license_headers.cpp                                                                      | C++             |          0 |          3 |          2 |          5 |
| Total                                                                                                                                                                               |                 |     42,390 |      5,503 |      6,337 |     54,230 |
+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
